,ModelingGroup,TownCode,NeighborhoodCode,PropertyAddress,Longitude,Latitude,DateofMostRecentSale,RepairCondition,Garage2Size
24333,SF,10,31,1853 N BRAYMORE DR,-88.1327593941263,42.1236415535973,07/01/2019,2.0,7.0
24334,SF,10,31,1320  MACALPIN DR,-88.131815976889,42.1222763720905,02/15/2019,2.0,7.0
24335,SF,10,31,690  DUNBARTON DR,-88.1355435685774,42.1219314339804,05/02/2019,2.0,7.0
24336,SF,10,30,127  COLONY DR,-88.1245280655676,42.1194834198286,03/05/2019,2.0,7.0
24337,SF,10,31,920  LIVINGSTON LN,-88.1283742298605,42.121093920325,01/14/2019,2.0,7.0
24338,SF,10,31,410  WINFIELD LN,-88.1311588990379,42.1198848373599,06/26/2019,2.0,7.0
24339,SF,10,30,2140  COMMONS RIDING WAY,-88.1330688897017,42.1149083677681,02/04/2019,2.0,7.0
24340,SF,10,30,2110  COMMONS RIDING WAY,-88.1328023119873,42.1172274129489,06/03/2019,2.0,7.0
24341,SF,10,24,115  NEW ABBEY DR,-88.1372575198669,42.1121621250337,04/19/2019,2.0,7.0
24342,SF,10,21,163  SPRINGWOOD LN,-88.2019670442454,42.1243442941616,06/06/2019,1.0,7.0
24343,SF,10,21,15  ROLLING HILLS DR,-88.2343056916891,42.1223343769115,07/19/2019,2.0,7.0
24344,SF,10,21,23  ROLLING HILLS DR,-88.2365100936003,42.1200160369794,09/18/2019,2.0,7.0
24345,SF,10,21,3  FERNWOOD DR,-88.2341146019053,42.1129272460863,01/18/2019,2.0,7.0
24346,SF,10,21,505  POND GATE DR,-88.2269902957787,42.101023278358,02/05/2019,2.0,7.0
24347,SF,10,24,2  SHENANDOAH CIR,-88.1847857606312,42.0972646605773,09/12/2019,2.0,7.0
24351,SF,10,31,7  KALEIGH CT,-88.1767097992986,42.1046673468963,06/14/2019,2.0,7.0
24352,SF,10,31,6  BROOKHAVEN CIR,-88.1691633490925,42.1087909910729,07/24/2019,2.0,7.0
24353,SF,10,31,23  EASTINGS WAY,-88.1696182816481,42.1040796657833,08/05/2019,2.0,7.0
24354,SF,10,31,20  LAKE SIDE DR,-88.1745555205272,42.1024165307611,01/07/2019,1.0,7.0
24355,SF,10,23,1  BEECHNUT DR,-88.162905447391,42.0964646604649,02/05/2019,2.0,7.0
24356,SF,10,31,6  HEATHWAY CT,-88.1525641266825,42.0989269976463,03/20/2019,2.0,7.0
24357,SF,10,25,37  WYCHWOOD LN,-88.1273273412719,42.1101019735294,01/09/2019,1.0,7.0
24358,SF,10,40,1775 W SHOREWOOD DR,-88.1236469687875,42.105889093805,03/18/2019,2.0,7.0
24359,SF,10,40,1750  WESTBURY DR,-88.1232057497409,42.1035977914286,06/26/2019,2.0,7.0
24360,SF,10,40,1925  DRIFTWOOD CT,-88.1274565532518,42.1062187728481,04/16/2019,2.0,7.0
24361,SF,10,23,4  WELLINGBOROUGH CT,-88.1316689998085,42.0992789463647,08/05/2019,2.0,7.0
24362,SF,10,23,11  PEMBURY WAY,-88.1317160127495,42.0976759142322,06/27/2019,1.0,7.0
24363,SF,10,40,3985  WHISPERING TRAILS DR,-88.1240516069487,42.0958670630096,08/15/2019,2.0,7.0
24364,SF,10,40,4011  WHISPERING TRAILS CT,-88.1239534793362,42.0966118513301,05/13/2019,2.0,7.0
24365,SF,10,40,4075  WHISPERING TRAILS DR,-88.1236810372196,42.0971266587286,08/06/2019,2.0,7.0
24366,SF,10,40,4250  FOREST GLEN DR,-88.1263374632859,42.1003547134838,09/06/2019,2.0,7.0
24367,SF,10,40,4286  OAK KNOLL LN,-88.1239935699372,42.1006198122448,06/10/2019,2.0,7.0
24368,SF,10,40,4298  OAK KNOLL LN,-88.1239891065154,42.10108062542,05/06/2019,2.0,7.0
24369,SF,10,40,1970  DOGWOOD DR,-88.1280562940051,42.0933942846577,09/04/2019,2.0,7.0
24370,SF,10,40,1930  DOGWOOD DR,-88.1271137800738,42.0929789291684,06/14/2019,2.0,7.0
24371,SF,10,40,1890  DOGWOOD DR,-88.1261574552947,42.0925350305483,07/22/2019,2.0,7.0
24372,SF,10,40,3790  ARROWWOOD LN,-88.128129513913,42.0922851352264,04/08/2019,2.0,7.0
24373,SF,10,40,3688  WHISPERING TRAILS DR,-88.1263961052453,42.089798054465,05/07/2019,2.0,7.0
24374,SF,10,40,3785  ARROWWOOD LN,-88.1274197830181,42.0920139615268,08/19/2019,2.0,7.0
24375,SF,10,40,3740  WINDING TRAIL LN,-88.1264269965435,42.091611768689,09/12/2019,2.0,7.0
24376,SF,10,24,20 N FREEMAN RD,-88.1241452002407,42.0852436108594,05/09/2019,2.0,7.0
24377,SF,10,23,62  OVERBROOK RD,-88.1420493211909,42.0900330433878,06/13/2019,2.0,7.0
24378,SF,10,23,28  COVERED BRIDGE RD,-88.1498228744979,42.0896018528006,05/03/2019,2.0,7.0
24379,SF,10,23,42  COVERED BRIDGE RD,-88.1474410589598,42.0896933921745,06/26/2019,1.0,7.0
24380,SF,10,23,40  OVERBROOK RD,-88.1476182900683,42.0917912152768,06/10/2019,1.0,7.0
24381,SF,10,23,8  BRIDLEWOOD TRL,-88.1498683786446,42.0954844946489,06/28/2019,2.0,7.0
24382,SF,10,23,1  FALCON LAKES DR,-88.1426929012163,42.0930379218189,05/30/2019,2.0,7.0
24383,SF,10,23,9  FALCON LAKES DR,-88.1445753283945,42.0953589028604,01/08/2019,2.0,7.0
24384,SF,10,23,13  BUCKTHORN RD,-88.1464697557946,42.0871175522809,01/10/2019,1.0,7.0
24385,SF,10,31,31  POLO DR,-88.1504631931235,42.0838263154892,03/05/2019,1.0,7.0
24386,SF,10,23,19  BRANDYWINE RD,-88.1780336072127,42.0925883291023,01/07/2019,1.0,7.0
24387,SF,10,23,30  LIBERTY DR,-88.174484707338,42.0890346729418,02/26/2019,2.0,7.0
24388,SF,10,23,77  WATERGATE DR,-88.1626843581935,42.0930464082415,06/27/2019,1.0,7.0
24389,SF,10,23,11  CHAMPLAIN RD,-88.1730045303827,42.0836567454406,07/25/2019,1.0,7.0
24390,SF,10,23,1  LEXINGTON RD,-88.1681146805952,42.0829727450868,09/06/2019,2.0,7.0
24391,SF,10,24,15 N OLD SUTTON RD,-88.1935666193125,42.0930469291356,09/26/2019,2.0,7.0
24392,SF,10,24,24  OLYMPIC DR,-88.1837600825388,42.0902773891766,07/10/2019,2.0,7.0
24393,SF,10,24,5  MESA DR,-88.1842681499485,42.0928403160966,07/03/2019,2.0,7.0
24394,SF,10,24,17  OLYMPIC DR,-88.1830769821412,42.0890154581827,02/20/2019,2.0,7.0
24395,SF,10,24,19  OLYMPIC DR,-88.1830642084867,42.0893376971963,06/13/2019,2.0,7.0
24396,SF,10,24,32  AZTEC CT,-88.1885182218954,42.0848527873767,08/19/2019,2.0,7.0
24397,SF,10,24,6  CHACO CT,-88.186454801331,42.083095214937,07/11/2019,2.0,7.0
24398,SF,10,24,7  OLYMPIC DR,-88.1838824478375,42.0879756130135,01/03/2019,2.0,7.0
24400,SF,10,31,38  PENTWATER DR,-88.1708650282531,42.0757704865496,07/17/2019,2.0,7.0
24401,SF,10,31,7  AMBROSE LN,-88.1501399844349,42.0765920363,05/06/2019,2.0,7.0
24402,SF,10,31,9  AMBROSE LN,-88.1501365169308,42.0760486590475,05/30/2019,2.0,7.0
24403,SF,10,31,2  WESCOTT DR,-88.149296999708,42.0776977711891,07/01/2019,1.0,7.0
24404,SF,10,31,5  WESCOTT DR,-88.147682994384,42.0766921222468,09/09/2019,2.0,7.0
24405,SF,10,31,9  WESCOTT DR,-88.1476783156501,42.0756964328494,05/29/2019,2.0,7.0
24406,SF,10,31,10  MC GLASHEN RD,-88.1455647593044,42.0805297985083,07/17/2019,2.0,7.0
24407,SF,10,23,7  MOHAWK CT,-88.1238472606542,42.0803693702436,04/12/2019,2.0,7.0
24408,SF,29,22,2117  OLD HICKS RD,-88.0192484144287,42.1477670220368,04/04/2019,2.0,7.0
24409,MF,29,22,2336 W NICHOLS RD,-88.0121692752624,42.1524586285722,04/18/2019,2.0,7.0
24410,MF,29,22,2242 W NICHOLS RD,-88.0103878003705,42.1519984776642,07/25/2019,2.0,7.0
24411,SF,29,22,1938  TRAIL RIDGE ST,-88.007008449227,42.1509046325204,05/16/2019,2.0,7.0
24412,SF,29,22,4005  BLOOMINGTON AVE,-88.0088919570575,42.1501261115611,06/20/2019,2.0,7.0
24413,SF,29,22,4009 N GALENA AVE,-88.0066182733237,42.1504496797963,02/06/2019,2.0,7.0
24414,SF,29,22,3907  NEW HAVEN AVE,-88.0054882185241,42.1483387815615,04/23/2019,2.0,7.0
24415,SF,29,22,3827 N GALENA CT,-88.0061759765911,42.1473527180641,09/23/2019,2.0,7.0
24416,SF,29,22,3841 N GALESBURG CT,-88.0072535215532,42.1477494879106,04/08/2019,2.0,7.0
24417,SF,29,22,1927  SPRING RIDGE DR,-88.0068023074784,42.1465590937164,03/28/2019,2.0,7.0
24418,MF,29,22,1949 N GREEN LN,-88.0157588824452,42.1457520440488,05/02/2019,2.0,7.0
24419,SF,29,22,908  LILY LN,-88.0213375448413,42.1427778499931,07/11/2019,2.0,7.0
24420,SF,29,22,895  ZINNIA LN,-88.0206826137716,42.1432491538004,09/09/2019,2.0,7.0
24421,SF,29,22,1812  CAPRI DR,-88.0183145301392,42.1436091446397,04/26/2019,2.0,7.0
24422,SF,29,22,1807  CAPRI DR,-88.0175726889859,42.1432384085901,03/18/2019,2.0,7.0
24423,SF,29,22,971  CAPRI DR,-88.0199068183702,42.1411853449859,02/20/2019,2.0,7.0
24424,SF,29,22,978  LILAC DR,-88.0194682882381,42.1406632125904,06/25/2019,2.0,7.0
24425,SF,29,22,837  GARDENIA LN,-88.0220130290633,42.1461196448264,09/17/2019,2.0,7.0
24426,SF,29,22,915  HOLLY WAY,-88.019740518927,42.145206631849,02/26/2019,2.0,7.0
24427,SF,29,22,1916  HIGH GROVE LN,-88.0170668662227,42.1445044009955,06/28/2019,2.0,7.0
24428,SF,29,22,1914 N HIGH GROVE LN,-88.0170721028952,42.1442934476642,04/17/2019,2.0,7.0
24429,SF,29,22,14 E MOSELEY RD,-88.044193393466,42.1534823274269,07/03/2019,2.0,7.0
24430,SF,29,22,322  FOREST KNOLL DR,-88.0358675578195,42.145484528822,07/05/2019,2.0,7.0
24431,SF,29,22,315  FOREST KNOLL DR,-88.0362250812666,42.1448020659208,03/26/2019,2.0,7.0
24432,SF,29,22,352  FOREST KNOLL DR,-88.0349762359571,42.1452502321292,06/24/2019,2.0,7.0
24433,SF,29,22,287  FOREST KNOLL DR,-88.0365749745884,42.1450048743533,07/03/2019,2.0,7.0
24434,SF,29,22,418  DIANE DR,-88.0310850022313,42.1411153512257,05/06/2019,2.0,7.0
24435,SF,29,22,1735  LEE CT,-88.0299319795041,42.1420834896476,08/23/2019,2.0,7.0
24436,SF,29,22,1701 N LYNDA DR,-88.025482589002,42.1409055369075,02/20/2019,2.0,7.0
24437,SF,29,22,587  CAPRI DR,-88.026585803672,42.1401409718066,05/01/2019,2.0,7.0
24438,SF,29,22,1635  DENISE DR,-88.0286172095175,42.1395372836269,01/23/2019,2.0,7.0
24439,SF,29,50,722  HELGESEN RD,-88.0607926117357,42.1516762688898,06/13/2019,2.0,7.0
24440,SF,29,50,2355  BARRINGTON WOODS RD,-88.0535375981569,42.1529326907734,09/10/2019,2.0,7.0
24441,SF,29,50,478  SHADY LANE RD,-88.0561477586362,42.1529383641499,07/16/2019,2.0,7.0
24442,SF,29,50,722 W MERYLS CT,-88.0609819188686,42.1489665319471,09/04/2019,2.0,7.0
24443,SF,29,50,440  CREEKWOOD DR,-88.0551146933187,42.1519576484648,03/28/2019,2.0,7.0
24444,SF,29,50,2322  BARRINGTON WOODS RD,-88.0544670138026,42.1523547063675,04/24/2019,2.0,7.0
24445,SF,29,50,450  SHADY LANE RD,-88.0554444365555,42.1530551386025,09/16/2019,2.0,7.0
24446,SF,29,130,1979  NORTHUMBERLAND PASS,-88.0534642564152,42.1484238289706,03/25/2019,2.0,7.0
24447,SF,29,130,530 W RUHL RD,-88.0569900632002,42.1484100792528,05/29/2019,2.0,7.0
24448,SF,29,130,460 W HALEYS HILL CT,-88.0552076167568,42.1477017794811,05/28/2019,2.0,7.0
24449,SF,29,130,471 W FALKIRK PL,-88.0554630348694,42.1480743921861,04/10/2019,2.0,7.0
24450,SF,29,50,2330 N WESTWOOD LN,-88.0528308964563,42.1513170645594,08/21/2019,2.0,7.0
24451,SF,29,50,367 W ROSALIE LN,-88.0520588026094,42.1529880498743,01/10/2019,2.0,7.0
24452,SF,29,50,172  BRENTWOOD DR,-88.0477788839014,42.1530390325535,06/20/2019,2.0,7.0
24453,SF,29,50,187  LAKE-COOK RD,-88.0481574309254,42.1534388587018,01/28/2019,2.0,7.0
24454,SF,29,50,2392  IRENE RD,-88.0471184579562,42.1534906430414,04/22/2019,2.0,7.0
24455,SF,29,50,147  LAKE-COOK RD,-88.0476056466671,42.1534374333892,09/24/2019,2.0,7.0
24456,SF,29,50,2369  IRENE DR,-88.04639928754,42.1527407046134,09/24/2019,2.0,7.0
24457,SF,29,50,2362 N NEWBERRY LN,-88.0454376495425,42.1532764611489,08/29/2019,2.0,7.0
24458,SF,29,11,145  DEER GROVE LN,-88.0818521476819,42.1477502207082,03/05/2019,2.0,7.0
24459,SF,29,11,104  CROOKED CREEK TRL,-88.0803035070629,42.1513290284348,06/25/2019,2.0,7.0
24460,SF,29,11,106  CROOKED CREEK TRL,-88.0803111104262,42.1506409594996,08/20/2019,2.0,7.0
24461,SF,29,120,635  FIELDING PLACE CT,-88.0997835805679,42.1528174213657,07/17/2019,2.0,7.0
24462,SF,29,11,220  BEAUMONT LN,-88.0927426686285,42.1484732915619,07/24/2019,2.0,7.0
24463,SF,29,11,230  FRANCES LN,-88.0889771475396,42.150872770616,07/08/2019,2.0,7.0
24464,SF,29,11,133 E COUNTY LINE RD,-88.0897244703414,42.1517441501375,07/25/2019,2.0,7.0
24465,SF,29,11,125  WHISPERING OAKS LN,-88.0900340069634,42.1482876762371,06/17/2019,2.0,7.0
24466,SF,29,11,127  HIDDEN OAKS DR,-88.0878618245367,42.1474561704647,06/10/2019,2.0,7.0
24467,SF,29,11,120  HIDDEN OAKS DR,-88.0892091045199,42.1487044046194,09/23/2019,1.0,7.0
24468,SF,29,11,126  HIDDEN OAKS DR,-88.0891472463714,42.1474691966763,04/05/2019,1.0,7.0
24469,SF,29,11,130  PALM DR,-88.0868381032055,42.150120667493,04/05/2019,2.0,7.0
24470,SF,29,11,148  PALM DR,-88.0840394133973,42.1477171473449,06/13/2019,2.0,7.0
24471,SF,29,11,236 E HILLSIDE RD,-88.0848259240622,42.1471241072543,03/14/2019,2.0,7.0
24472,SF,29,11,110  WEDGEWOOD DR,-88.0836270433955,42.1534819452112,09/26/2019,1.0,7.0
24473,SF,29,11,115  WEDGEWOOD DR,-88.0826081389986,42.1523858577751,05/15/2019,2.0,7.0
24474,SF,29,13,1419 E MAIN ST,-88.1119014264839,42.1531549112998,08/02/2019,2.0,7.0
24475,SF,29,13,99  OLD MILL RD,-88.1153060605434,42.1532611846416,09/10/2019,2.0,7.0
24476,SF,29,13,610  RED BARN LN,-88.1140758436816,42.1493767394159,06/10/2019,2.0,7.0
24477,SF,29,120,615  FAIRFIELD DR,-88.1134514945503,42.1488918571464,06/10/2019,2.0,7.0
24478,SF,29,120,930  LAKEWOOD DR,-88.116991088889,42.1490694023598,07/18/2019,2.0,7.0
24479,SF,29,120,1013  OAKLAND CT,-88.1199191171914,42.1485286609281,05/03/2019,2.0,7.0
24480,SF,29,120,911  LAKEWOOD DR,-88.1190485356679,42.1496110303988,07/11/2019,2.0,7.0
24481,SF,29,13,140  WYNGATE DR,-88.1077546731648,42.1522421524542,06/20/2019,2.0,7.0
24482,SF,29,13,660  HAVEN DR,-88.1089354036402,42.1471341964481,06/04/2019,2.0,7.0
24483,SF,29,13,161  CRESTVIEW CT,-88.1053554576101,42.143567426426,01/04/2019,2.0,7.0
24484,SF,29,11,1353 E CARLISLE DR,-88.1097531810631,42.1381722431661,08/06/2019,2.0,7.0
24485,SF,29,11,1313 E CARLISLE DR,-88.1044232671927,42.1370715665727,03/27/2019,1.0,7.0
24486,SF,29,11,1005  GLENCREST DR,-88.1139647492907,42.1318197982207,02/25/2019,2.0,7.0
24487,SF,29,11,1020  CORTBRIDGE RD,-88.1062022399228,42.1288350914468,07/16/2019,2.0,7.0
24488,SF,29,11,841  CORTBRIDGE RD,-88.1057332090611,42.125367702903,05/07/2019,2.0,7.0
24489,SF,29,11,861  MUIRFIELD RD,-88.1034926410002,42.1261949051473,05/30/2019,1.0,7.0
24490,SF,29,11,1511  GUTHRIE DR,-88.1075062467856,42.1312830078433,03/07/2019,2.0,7.0
24491,SF,29,11,1408  DRUMMOND CIR,-88.1075491799999,42.1259841701144,06/11/2019,2.0,7.0
24492,SF,29,11,194 E DUNDEE RD,-88.099537664235,42.1328644809911,07/26/2019,1.0,7.0
24493,SF,29,84,1243 N SHERWOOD LN,-88.0829411237135,42.1333482202803,06/27/2019,2.0,7.0
24494,SF,29,11,313  CANTERBURY LN,-88.0993428243148,42.1258600632243,06/10/2019,2.0,7.0
24495,SF,29,41,1014  BLACKBURN DR,-88.0968918993815,42.1286152260535,08/13/2019,2.0,7.0
24496,SF,29,11,981  STONEFIELD CIR,-88.0995380964286,42.1272899040338,03/13/2019,2.0,7.0
24497,SF,29,41,1866  TWEED RD,-88.0890429970129,42.1300504323497,06/03/2019,2.0,7.0
24498,SF,29,84,1725 W ETHANS GLEN DR,-88.0856810688856,42.1302548060135,06/26/2019,1.0,7.0
24499,SF,29,84,1675 W ETHANS GLEN DR,-88.0848987728766,42.1298912117719,08/14/2019,1.0,7.0
24500,SF,29,84,1677 W ETHANS GLEN DR,-88.0849665709097,42.1299240510912,06/26/2019,1.0,7.0
24501,SF,29,84,1585 W DUNDEE RD,-88.0824310387368,42.1347478520232,08/30/2019,2.0,7.0
24502,SF,29,50,1384 W HILL RD,-88.0770711232752,42.1354791056705,05/13/2019,2.0,7.0
24503,SF,29,50,954  ASPEN CT,-88.0666418311293,42.1364650787464,05/15/2019,2.0,7.0
24504,SF,29,50,909  ASPEN CT,-88.065439002675,42.1362052665679,06/21/2019,2.0,7.0
24505,SF,29,110,1237 N LAKEVIEW DR,-88.0666745692874,42.1329727882652,05/30/2019,2.0,7.0
24506,SF,29,50,1392  KNOLLWOOD CT,-88.0685276047703,42.1359807141961,09/04/2019,2.0,7.0
24507,SF,29,50,1380  KNOLLWOOD DR,-88.0683579481543,42.1357822210337,04/25/2019,2.0,7.0
24508,SF,29,50,1382  KNOLLWOOD DR,-88.0685809466791,42.1357473314782,05/06/2019,2.0,7.0
24509,SF,29,50,1364  KNOLLWOOD CT,-88.0690186501458,42.135653653771,05/22/2019,2.0,7.0
24510,SF,29,50,1362  KNOLLWOOD DR,-88.0690222208657,42.1355344832505,09/03/2019,2.0,7.0
24511,SF,29,50,1356  KNOLLWOOD CT,-88.0686990610993,42.1353243307894,06/03/2019,2.0,7.0
24512,SF,29,50,1320  KNOLLWOOD CT,-88.0685220803074,42.1348607754766,02/04/2019,2.0,7.0
24513,SF,29,50,1268  KNOLLWOOD DR,-88.0689331162673,42.1339438225938,02/06/2019,2.0,7.0
